postName,type,locationName,requiredDay,requiredNight,dayShiftGuards,nightShiftGuards
2nd Material Gate,FIXED,Main Factory,10,10,"Golam Anisur Islam, Ali Monir Sarker, Abu Saiful Islam, Enamul Rashed Sarker, Md. Rafiqul Islam, Mohammad Shofiqul Sarker, Abdul Mominul Islam, Kazi Kawsar Sarker, Sheikh Shahidul Islam, Syed Jubayer Sarker","Golam Alamin Islam, Ali Kamal Sarker, Abu Nazrul Islam, Enamul Tariqul Sarker, Md. Farhad Islam, Mohammad Zakir Sarker, Abdul Mahfuz Islam, Kazi Habib Sarker, Sheikh Delwar Islam, Syed Jahangir Sarker"
3rd Emergency Gate,FIXED,Main Factory,4,4,"Golam Anisur Islam, Ali Monir Sarker, Abu Saiful Islam, Enamul Rashed Sarker","Md. Rafiqul Islam, Mohammad Shofiqul Sarker, Abdul Mominul Islam, Kazi Kawsar Sarker"
Central SOC & CCTV Command,FIXED,Main Factory,4,4,"Abdul Mahfuz Islam, Kazi Habib Sarker, Sheikh Delwar Islam, Syed Jahangir Sarker","Golam Anisur Islam, Ali Monir Sarker, Abu Saiful Islam, Enamul Rashed Sarker"
Garage & Heavy Fleet Bay,FIXED,Main Factory,4,4,"Sheikh Shahidul Islam, Syed Jubayer Sarker, Golam Alamin Islam, Ali Kamal Sarker","Abu Nazrul Islam, Enamul Tariqul Sarker, Md. Farhad Islam, Mohammad Zakir Sarker"
Main Gate & Turnstile,FIXED,Main Factory,8,8,"Md. Rafiqul Islam, Mohammad Shofiqul Sarker, Abdul Mominul Islam, Kazi Kawsar Sarker, Sheikh Shahidul Islam, Syed Jubayer Sarker, Golam Alamin Islam, Ali Kamal Sarker","Abu Nazrul Islam, Enamul Tariqul Sarker, Md. Farhad Islam, Mohammad Zakir Sarker, Abdul Mahfuz Islam, Kazi Habib Sarker, Sheikh Delwar Islam, Syed Jahangir Sarker"
Power Substation & Boiler,FIXED,Main Factory,4,4,"Sheikh Shahidul Islam, Syed Jubayer Sarker, Golam Alamin Islam, Ali Kamal Sarker","Abu Nazrul Islam, Enamul Tariqul Sarker, Md. Farhad Islam, Mohammad Zakir Sarker"
Production Floor Patrol 1 & 2,ROTATING,Main Factory,12,12,"Sheikh Shahidul Islam, Syed Jubayer Sarker, Golam Alamin Islam, Ali Kamal Sarker, Abu Nazrul Islam, Enamul Tariqul Sarker, Md. Farhad Islam, Mohammad Zakir Sarker, Abdul Mahfuz Islam, Kazi Habib Sarker, Sheikh Delwar Islam, Syed Jahangir Sarker","Golam Anisur Islam, Ali Monir Sarker, Abu Saiful Islam, Enamul Rashed Sarker, Md. Rafiqul Islam, Mohammad Shofiqul Sarker, Abdul Mominul Islam, Kazi Kawsar Sarker, Sheikh Shahidul Islam, Syed Jubayer Sarker, Golam Alamin Islam, Ali Kamal Sarker"
Raw Material Store Vault,ROTATING,Main Factory,8,8,"Abu Nazrul Islam, Enamul Tariqul Sarker, Md. Farhad Islam, Mohammad Zakir Sarker, Abdul Mahfuz Islam, Kazi Habib Sarker, Sheikh Delwar Islam, Syed Jahangir Sarker","Golam Anisur Islam, Ali Monir Sarker, Abu Saiful Islam, Enamul Rashed Sarker, Md. Rafiqul Islam, Mohammad Shofiqul Sarker, Abdul Mominul Islam, Kazi Kawsar Sarker"
Tower 2 North Perimeter,ROTATING,Main Factory,8,8,"Abdul Mahfuz Islam, Kazi Habib Sarker, Sheikh Delwar Islam, Syed Jahangir Sarker, Golam Anisur Islam, Ali Monir Sarker, Abu Saiful Islam, Enamul Rashed Sarker","Md. Rafiqul Islam, Mohammad Shofiqul Sarker, Abdul Mominul Islam, Kazi Kawsar Sarker, Sheikh Shahidul Islam, Syed Jubayer Sarker, Golam Alamin Islam, Ali Kamal Sarker"
Tower 3 South Perimeter,ROTATING,Main Factory,8,8,"Abu Nazrul Islam, Enamul Tariqul Sarker, Md. Farhad Islam, Mohammad Zakir Sarker, Abdul Mahfuz Islam, Kazi Habib Sarker, Sheikh Delwar Islam, Syed Jahangir Sarker","Golam Anisur Islam, Ali Monir Sarker, Abu Saiful Islam, Enamul Rashed Sarker, Md. Rafiqul Islam, Mohammad Shofiqul Sarker, Abdul Mominul Islam, Kazi Kawsar Sarker"
